BCProviderRegistry
=========================================

Generic: line 0, col 0, Warning - The HTML fragment 'ip-statements.xhtml' is not included anywhere in the produced implementation guide (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 98, col 18, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 109, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 120, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 425, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 425, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 465, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 465, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 98, col 18, Error - None of the codings provided are in the value set 'BC License Status Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-code-system#SUSPENDED) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 109, col 18, Error - None of the codings provided are in the value set 'BC License Status Reason Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-reason-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-reason-code-system#LTP) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 120, col 18, Error - None of the codings provided are in the value set 'BC License Status Class Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-license-status-class-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-license-status-class-code-system#LIC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 425, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 425, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 465, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 465, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 519, col 12, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 519, col 12, Error - None of the codings provided are in the value set 'BC Language Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-language-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-language-code-system#B01) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 576, col 12, Error - A definition for CodeSystem 'http://fhir.infoway-inforoute.ca/CodeSystem/scptype' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle.json: line 576, col 12, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle-forTesting.json: line 1, col 2, Error - Slice 'Bundle.entry:PractitionerRole': a matching slice is required, but not found (from http://hlth.gov.bc.ca/fhir/provider/StructureDefinition/bc-practitioner-bundle|1.0.0). Note that other slices are allowed in addition to this required slice (STRUCTURE)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle-forTesting.json: line 162, col 12, Error - A definition for CodeSystem 'http://fhir.infoway-inforoute.ca/CodeSystem/scptype' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-DistributePractitioner-Bundle-forTesting.json: line 162, col 12, Error - None of the codings provided are in the value set 'BC Practitioner Role Code Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-practitioner-role-value-set|1.0.0), and a coding from this value set is required) (codes = http://fhir.infoway-inforoute.ca/CodeSystem/scptype#MD) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 65, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 65, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 85, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 85, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#HC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 105, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 105, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#MC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 203, col 16, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 203, col 16, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Location-Response.json: line 1, col 2, Info - No types could be determined from the search string, so the types can't be checked (INVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Organization-Response.json: line 124, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Organization-Response.json: line 124, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Organization-Response.json: line 93, col 18, Error - A definition for CodeSystem 'https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system' could not be found, so the code cannot be validated (NOTFOUND)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Organization-Response.json: line 93, col 18, Error - None of the codings provided are in the value set 'BC Communication Purpose Value Set' (https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/ValueSet/bc-communication-purpose-value-set|1.0.0), and a coding from this value set is required) (codes = https://terminology.hlth.gov.bc.ca/ProviderLocationRegistry/CodeSystem/bc-communication-purpose-code-system#BC) (CODEINVALID)
/github/workspace/fsh-generated/resources/Bundle-Example-GET-Organization-Response.json: line 1, col 2, Info - No types could be determined from the search string, so the types can't be checked (INVALID)
